Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2001","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2002","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2003","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2004","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2005","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2006","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2007","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2008","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2009","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2010","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2011","tonnes",""
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2012","tonnes","5457"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2013","tonnes","2600"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2014","tonnes","2566"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2015","tonnes","3347"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2016","tonnes","3756"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2017","tonnes","5580"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2018","tonnes","6502"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2019","tonnes","10407"
"Crops and livestock products","Viet Nam","Export Quantity","Coffee, roasted","2020","tonnes","8565"
